Scenario - 01 Fix_Pro
Logfile written - 08/19/2008 09:44:42

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
1610111	41	Picture	gap	4160568	26576	6	1999	13	26500	2000
1610111	41	Picture	PSR10	4162567	28575	7	14119	8	28500	14000
1610111	42	Picture	fix2150	4176804	0	1	21518	7	0	21500
1610111	42	Picture	gap	4198322	21518	6	2004	9	21500	2000
1610111	42	Picture	PSL05	4200326	23522	3	14114	4	23500	14000
1610111	43	Picture	fix2650	4214557	0	2	26581	5	0	26500
1610111	43	Picture	gap	4241138	26581	3	2000	4	26500	2000
1610111	43	Picture	PSR10	4243138	28581	1	14110	6	28500	14000
1610111	44	Picture	fix2650	4257364	0	6	26581	12	0	26500
1610111	44	Picture	gap	4283945	26581	6	2002	9	26500	2000
1610111	44	Picture	PSR10	4285947	28583	3	14116	4	28500	14000
1610111	45	Picture	fix28250	4300180	0	1	282508	3	0	282500
1610111	46	Picture	fix2650	4582806	0	1	26576	7	0	26500
1610111	46	Picture	gap	4609382	26576	6	2003	9	26500	2000
1610111	46	Picture	PSL10	4611385	28579	3	14110	11	28500	14000
1610111	47	Picture	fix2150	4625612	0	7	21529	8	0	21500
1610111	47	Picture	gap	4647141	21529	1	1999	2	21500	2000
1610111	47	Picture	PSR10	4649140	23528	1	14111	5	23500	14000
1610111	48	Picture	fix2650	4663372	0	1	26580	2	0	26500
1610111	48	Picture	gap	4689952	26580	1	2000	2	26500	2000
1610111	48	Picture	PSL05	4691952	28580	1	14113	3	28500	14000
1610111	49	Picture	fix2150	4706183	0	1	21518	9	0	21500
1610111	49	Picture	gap	4727701	21518	8	2000	14	21500	2000
1610111	49	Picture	PSR10	4729701	23518	6	14118	7	23500	14000
1610111	50	Picture	fix2650	4743937	0	1	26581	2	0	26500
1610111	50	Picture	gap	4770518	26581	1	1999	2	26500	2000
1610111	50	Picture	PSR05	4772517	28580	1	14114	2	28500	14000
1610111	51	Picture	fix2150	4786748	0	1	21524	2	0	21500
1610111	51	Picture	gap	4808272	21524	1	1999	2	21500	2000
1610111	51	Picture	PSL05	4810271	23523	1	14109	7	23500	14000
1610111	52	Picture	fix2150	4824502	0	3	21519	9	0	21500
1610111	52	Picture	gap	4846021	21519	6	1999	13	21500	2000
1610111	52	Picture	PSL10	4848020	23518	7	14119	8	23500	14000
1610111	53	Picture	fix28000	4862256	0	2	280038	4	0	280000
