Scenario - 01 Fix_Anti
Logfile written - 08/19/2008 09:54:35

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
1610111	36	Picture	ASR05	3653770	28580	7	14119	8	28500	14000
1610111	37	Picture	fix27750	3668007	0	1	277563	8	0	277500
1610111	38	Picture	fix2650	3945690	0	4	26583	6	0	26500
1610111	38	Picture	gap	3972273	26583	2	1995	8	26500	2000
1610111	38	Picture	ASL10	3974268	28578	6	14118	8	28500	14000
1610111	39	Picture	fix2150	3988504	0	1	21523	3	0	21500
1610111	39	Picture	gap	4010027	21523	2	2000	3	21500	2000
1610111	39	Picture	ASL05	4012027	23523	1	14113	3	23500	14000
1610111	40	Picture	fix2150	4026258	0	1	21523	3	0	21500
1610111	40	Picture	gap	4047781	21523	2	2000	3	21500	2000
1610111	40	Picture	ASR10	4049781	23523	1	14108	8	23500	14000
1610111	41	Picture	fix2650	4064012	0	1	26576	7	0	26500
1610111	41	Picture	gap	4090588	26576	6	2003	10	26500	2000
1610111	41	Picture	ASL05	4092591	28579	4	14115	5	28500	14000
1610111	42	Picture	fix2650	4106823	0	2	26581	3	0	26500
1610111	42	Picture	gap	4133404	26581	1	1999	3	26500	2000
1610111	42	Picture	ASR05	4135403	28580	2	14114	3	28500	14000
1610111	43	Picture	fix2150	4149635	0	1	21523	2	0	21500
1610111	43	Picture	gap	4171158	21523	1	1995	7	21500	2000
1610111	43	Picture	ASL05	4173153	23518	6	14113	12	23500	14000
1610111	44	Picture	fix2650	4187389	0	3	26581	4	0	26500
1610111	44	Picture	gap	4213970	26581	1	1999	2	26500	2000
1610111	44	Picture	ASL05	4215969	28580	1	14114	2	28500	14000
1610111	45	Picture	fix27750	4230200	0	1	277568	4	0	277500
1610111	46	Picture	fix2650	4507886	0	2	26581	3	0	26500
1610111	46	Picture	gap	4534467	26581	1	1999	3	26500	2000
1610111	46	Picture	ASL10	4536466	28580	2	14114	3	28500	14000
1610111	47	Picture	fix2650	4550698	0	1	26580	3	0	26500
1610111	47	Picture	gap	4577278	26580	2	2000	3	26500	2000
1610111	47	Picture	ASL05	4579278	28580	1	14108	8	28500	14000
1610111	48	Picture	fix2150	4593507	0	4	21522	9	0	21500
1610111	48	Picture	gap	4615029	21522	5	1998	11	21500	2000
1610111	48	Picture	ASL05	4617027	23520	6	14118	8	23500	14000
1610111	49	Picture	fix2150	4631263	0	1	21523	3	0	21500
1610111	49	Picture	gap	4652786	21523	2	2000	3	21500	2000
1610111	49	Picture	ASL05	4654786	23523	1	14113	3	23500	14000
1610111	50	Picture	fix2150	4669017	0	1	21523	3	0	21500
1610111	50	Picture	gap	4690540	21523	2	2000	3	21500	2000
1610111	50	Picture	ASL10	4692540	23523	1	14113	3	23500	14000
1610111	51	Picture	fix2650	4706771	0	1	26581	2	0	26500
1610111	51	Picture	gap	4733352	26581	1	1999	3	26500	2000
1610111	51	Picture	ASR05	4735351	28580	2	14113	6	28500	14000
1610111	52	Picture	fix2650	4749582	0	2	26581	3	0	26500
1610111	52	Picture	gap	4776163	26581	1	2000	2	26500	2000
1610111	52	Picture	ASL10	4778163	28581	1	14113	3	28500	14000
1610111	53	Picture	fix27750	4792394	0	1	277568	2	0	277500
